taxon,specimen,ITS
Oxalis_peduncularis_var_peduncularis,Emshwiller418,U74276
Oxalis_peduncularis_var_pilosa,Emshwiller791,NA
Oxalis_pendulifolia,Oberlander0067,EU437019
Oxalis_penicillata,HeiblPfanzelt05-032,JN634749
Oxalis_perdicaria,HeiblBotGardenMunich03,JN634750
Oxalis_pes-caprae,Aoki6,LC206097
Oxalis_petrophila,Emshwiller933,NA
Oxalis_phloxidiflora,Dreyer678,EU436984
Oxalis_physocalyx,Melo6953,OQ310888
Oxalis_picchensis,Emshwiller500,NA
Oxalis_pickeringii,Gaspar175,Gaspar
Oxalis_pillansiana,Oberlander0135,EU436938
Oxalis_pilulifera,Sartor48,NA
Oxalis_pinguiculacea,Wood22147,JN618562
Oxalis_pocockiae,Dreyer626,EU436911
Oxalis_polymorpha_subsp_polymorpha,Fiaschi4618,Costa
Oxalis_polymorpha_subsp_tijucana,Fiaschi44722,Costa
Oxalis_polymorpha_var_cauliflora,Richetti70,OQ623652
Oxalis_polyphylla,Cilliers0002,EU437010
Oxalis_polyrhiza,Emshwiller960,NA
Oxalis_porphyriosiphon,Oberlander0167,EU436987
Oxalis_praetexta,Cabral159,OQ310889
Oxalis_primavera,Gardner50,JN618563
Oxalis_primuloides,Dreyer711,EU436966
Oxalis_pseudocernua,Craven4781,EU436880
Oxalis_psilopoda,Oberlander0064,EU436891
Oxalis_psoraleoides_subsp_psoraleoides,Felix14001,KC602030
Oxalis_psoraleoides_subsp_insipida,Antar1317,NA
Oxalis_ptychoclada_var_ptychoclada,Emshwiller916,JN603197
Oxalis_ptychoclada_var_trichocarpa,Emshwiller600,NA
Oxalis_puberula,Rhoden7,Cabral
Oxalis_pulchella,Dreyer612,EU436907
Oxalis_punctata,Cilliers0005,EU436917
Oxalis_purpurascens,Dreyer634,EU436881
Oxalis_purpurea,Oberlander0024,EU436902
Oxalis_pusilla,Dreyer746,EU437004
Oxalis_pycnophylla,Heibl01-005,NA
Oxalis_pyrenea_var_macrochaeta,Cabral96,OQ623651
Oxalis_pyrenea_var_pyrenea,Sartor65,Cabral
Oxalis_reclinata,Dreyer718,EU436968
Oxalis_recticaulis,Oberlander0170,EU437003
Oxalis_refracta,Vaio496,KC602019
Oxalis_regnellii,Emshwiller456,U74279
Oxalis_rhombeo-ovata,Melo4750,PQ536103
Oxalis_ricardii,Heibl01-072,NA
Oxalis_rigida,Heibl03-096,NA
Oxalis_rosea,Lammers7916,JN603194
Oxalis_roselata,Rhoden16,PQ536104
Oxalis_salteri,Dreyer784,EU436932
Oxalis_sarmentosa,VaioC13,KC602022
Oxalis_sciophila,Costa118,OQ310890
Oxalis_sellowiana_forma_alba,Vaio282,JN836779
Oxalis_sellowiana_forma_sellowiana,Giussani421,Lopez
Oxalis_sellowii,Cabral109,OQ623655
Oxalis_sepium,Radavelli76,NA
Oxalis_serpens,VaioC27,KC602017
Oxalis_setosa,Bellstedt770,EU436916
Oxalis_smithiana,Bellstedt699,EU436964
Oxalis_sonderiana,Dreyer694,EU436945
Oxalis_sp_aff_ptychoclada,Emshwiller916,NA
Oxalis_spiralis,Aoki85,LC206110
Oxalis_squamata,HeiblPfanzelt05-027,JN634752
Oxalis_squarrosa,Arancio14804,NA
Oxalis_staffordiana,Emshwiller512,NA
Oxalis_stellata,Oberlander0086,EU436894
Oxalis_stenopetala,Dreyer675,EU436983
Oxalis_stenoptera,Oberlander0138,EU436934
Oxalis_stictocheila,Dreyer749,EU436996
Oxalis_stricta,GardnerstrictaB,NA
Oxalis_strigosa,Oberlander0093,EU436959
Oxalis_suavis,Oberlander0075,EU436937
Oxalis_subacaulis,Salomon245,MH220865
Oxalis_subintegra,Emshwiller799,NA
Oxalis_suborbiculata,Cabral110,OQ623656
Oxalis_suteroides,Oberlander0115,EU436963
Oxalis_tabaconasensis,Emshwiller786,NA
Oxalis_taimonii,Wang4456,LC206081
Oxalis_tenella,Dreyer639,EU436978
Oxalis_teneriensis,Emshwiller511,NA
Oxalis_tenerrima,VaioC30,KC602012
Oxalis_tenuifolia,Oberlander0027,EU436995
Oxalis_tenuipes,Dreyer800,EU436986
Oxalis_tenuis,Dreyer793,EU436989
Oxalis_tetraphylla,EmshwillerDEPP,JN618566
Oxalis_tijucana,Vasques85,Cabral
Oxalis_tomentosa,Roller0006,EU437022
Oxalis_tortuosa,KrausK-94,JN634754
Oxalis_triangularis_subsp_papilionacea,Emshwiller456,JN618512
Oxalis_triangularis_subsp_triangularis,MO1165,FJ410328
Oxalis_triangulata,Aoki34,LC206052
Oxalis_trillifolia,MO275113,LC368450
Oxalis_trollii,Wood22158,JN618569
Oxalis_truncatula,Dreyer605,EU436960
Oxalis_tuberosa,Emshwiller97:50-02,JN603198
Oxalis_uliginosa,MO394uliginosa,EU436933
Oxalis_umbraticola,Richetti69,PQ536105
Oxalis_unduavensis,Emshwiller168/291/351,U74260
Oxalis_urbaniana,Bytebier2015,EU436999
Oxalis_valdiviensis,HeiblPfanzelt05-016,JN634755
Oxalis_veadeirosensis,Fiaschi5330,Cabral
Oxalis_versicolor,Oberlander0034,EU437006
