taxon,specimen,ITS,ncpGS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL,Nmarker,Kmarker,duplicate
Oxalis_floribunda_subsp_floribunda,Vaio358,JN836767,NA,NA,JN836790,NA,JN836758,NA,JN836861,4,TRUE,FALSE
Oxalis_floribunda_subsp_ostenii,Vaio388,KX249623,NA,NA,KX249665,NA,KX249647,NA,KX249648,4,TRUE,FALSE
Oxalis_fontana,Whang30761,EU274622,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE
Oxalis_formosana,Aoki181,LC206020,NA,NA,LC206128,NA,LC206342,NA,LC206235,4,TRUE,FALSE
Oxalis_fourcadei,BeanVlok2046,EU436923,NA,NA,NA,NA,EU437074,NA,NA,2,TRUE,FALSE
Oxalis_frutescens,Vaio426,KC602026,NA,NA,KC602051,NA,KC602080,NA,KC602106,4,TRUE,TRUE
Oxalis_fruticosa,Fiaschi4658,OQ310877,NA,NA,OQ295998,NA,OQ296024,NA,NA,3,TRUE,TRUE
Oxalis_furcillata,Oberlander0022,EU436952,NA,NA,NA,NA,AJ582320,EU437238,NA,3,TRUE,FALSE
Oxalis_galeottii,Gardner60,JN618531,NA,NA,JN836827,NA,JN639566,NA,JN836895,4,TRUE,FALSE
Oxalis_gardneriana,Scatigna1336,PQ847008,NA,NA,PQ846555,NA,NA,NA,NA,2,TRUE,FALSE
Oxalis_geralensis,UnknownN,KX249625,NA,NA,NA,NA,KX249650,NA,KX249649,3,TRUE,TRUE
Oxalis_giftbergensis,Dreyer796,EU436988,NA,NA,NA,NA,AJ582321,EU437274,NA,3,TRUE,FALSE
Oxalis_gigantea,HeiblMunozToro04-010,JN634733,NA,NA,NA,NA,NA,JN627224,JN620093,3,TRUE,FALSE
Oxalis_glabra,Mucina170601/2,EU437000,NA,NA,NA,NA,AJ582322,EU437286,NA,3,TRUE,FALSE
Oxalis_glaucescens,Felix13539,KC602029,NA,NA,KC602053,NA,KC602083,NA,KC602108,4,TRUE,TRUE
Oxalis_goniorrhiza,Oberlander0157,EU437002,NA,NA,NA,NA,EU437114,EU437288,NA,3,TRUE,FALSE
Oxalis_goyazensis,Cabral100,OQ623643,NA,NA,OR099845,NA,OR099871,NA,NA,3,TRUE,FALSE
Oxalis_gracilipes,Dreyer645,EU436991,NA,NA,NA,NA,EU437108,EU437277,NA,3,TRUE,FALSE
Oxalis_gracilis,Oberlander123,EU436976,NA,NA,NA,NA,EU437104,EU437262,NA,3,TRUE,FALSE
Oxalis_grammopetala,Oberlander0156,EU436906,NA,NA,NA,NA,EU437062,EU437194,NA,3,TRUE,FALSE
Oxalis_grammophylla,Dreyer670,EU437016,NA,NA,NA,NA,AJ582323,EU437302,NA,3,TRUE,TRUE
Oxalis_gregaria,Roe1597,JN618532,NA,NA,JN836826,NA,JN639565,NA,NA,3,TRUE,FALSE
Oxalis_griffithii,Aoki35,LC206055,NA,NA,LC206163,NA,LC206377,NA,LC206270,4,TRUE,FALSE
Oxalis_grisea,Vaio512,KC602025,NA,NA,KC602050,NA,KC602079,NA,KC602105,4,TRUE,TRUE
Oxalis_gyrorhiza,Heibl02-035,NA,NA,JN602093,NA,NA,JN620129,JN627225,NA,3,FALSE,TRUE
Oxalis_haedulipes,Mucina180903/9,EU436886,NA,NA,NA,NA,EU437048,EU437175,NA,3,TRUE,FALSE
Oxalis_hedysarifolia,Almeida1980,OQ623642,NA,NA,OR099840,NA,OR099866,NA,NA,3,TRUE,FALSE
Oxalis_hepatica,Nuernberg1800,OQ623645,NA,NA,OR099847,NA,OR099872,NA,NA,3,TRUE,FALSE
Oxalis_hernandesii,Gardner56,JN618534,NA,NA,JN836825,NA,JN639564,NA,JN836894,4,TRUE,FALSE
Oxalis_herrerae,Emshwiller459,U74269,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE
Oxalis_heterophylla,BayerOberlander0008,EU437018,NA,NA,NA,NA,EU437121,EU437304,NA,3,TRUE,FALSE
Oxalis_hirsutibulba,MO1519,KF154266,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE
Oxalis_hirsutissima,Cordeiro987,OQ623646,NA,NA,NA,NA,OR099874,NA,NA,2,TRUE,FALSE
Oxalis_hirta,Dreyer646,EU436971,NA,NA,NA,NA,AJ582324,EU437257,NA,3,TRUE,TRUE
Oxalis_hispidula,Vaio44,JN836776,NA,NA,JN836811,NA,JN836765,NA,NA,3,TRUE,FALSE
Oxalis_holosericea,HeiblPfanzelt05-025,JN634734,NA,JN607481,NA,JN587327,JN620130,JN627226,JN620094,6,TRUE,FALSE
