taxon,specimen,ITS,ncpGS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL
Oxalis_alstonii,Costa882,OQ623639,NA,NA,OR099837,NA,OR099864,NA,NA
Oxalis_alstonii,Fiaschi5180,OQ623644,NA,NA,OR099846,NA,NA,NA,NA
Oxalis_blackii,Fiaschi4661,OQ623641,NA,NA,OR099839,NA,NA,NA,NA
Oxalis_blackii,Costa115,MH705068,NA,NA,MH705089,NA,MH705073,NA,NA
Oxalis_colatinensis,Fiaschi4625,MH705069,NA,NA,MH705090,NA,MH705074,NA,NA
Oxalis_colatinensis,Fiaschi4631,OQ310873,NA,NA,OQ295994,NA,OQ296020,NA,NA
Oxalis_kollmannii,Fiaschi4663,OQ310872,NA,NA,OQ295993,NA,OQ296019,NA,NA
Oxalis_neuwiedii,Almeida1336,MH705072,NA,NA,MH705094,NA,MH705078,NA,NA
Oxalis_polymorpha_var_cauliflora,Richetti70,OQ623652,NA,NA,OR099854,NA,OR099878,NA,NA
Oxalis_animarum,Fiaschi4591,OQ623653,NA,NA,OR099855,NA,OR099879,NA,NA
Oxalis_umbraticola,UnknownN,NA,NA,NA,MH705095,NA,MH705079,NA,NA
Oxalis_erosa,UnknownN,MH705070,NA,NA,MH705092,NA,MH705076,NA,NA
Oxalis_erosa,Cabral138,OQ310876,NA,NA,OQ295997,NA,OQ296023,NA,NA
Oxalis_psoraleoides_subsp_insipida,Antar1317,NA,NA,NA,OR099856,NA,OR099880,NA,NA
Oxalis_psoraleoides_subsp_insipida,CabralIS4,OR094469,NA,NA,OR099857,NA,NA,NA,NA
Oxalis_psoraleoides_subsp_insipida,Vaio431,KC602030,NA,NA,KC602054,NA,NA,NA,NA
Oxalis_rhombeo-ovata,Vaio526,KC602031,NA,NA,NA,NA,KC602084,NA,NA
Oxalis_ciliata,Cabral124,NA,NA,NA,OR099841,NA,OR099867,NA,NA
Oxalis_cordata,Cabral125,NA,NA,NA,OR099842,NA,OR099868,NA,NA
Oxalis_goyazensis,Cabral100,OQ623643,NA,NA,OR099845,NA,OR099871,NA,NA
Oxalis_grisea,Vaio512,KC602025,NA,NA,KC602050,NA,KC602079,NA,NA
Oxalis_hirsutissima,Cordeiro987,OQ623646,NA,NA,NA,NA,OR099874,NA,NA
Oxalis_physocalyx,Cabral172,OQ623650,NA,NA,OR099852,NA,NA,NA,NA
Oxalis_physocalyx,Melo6953,OQ310888,NA,NA,OQ296009,NA,OQ296036,NA,NA
Oxalis_praetexta,Cabral159,OQ310889,NA,NA,OQ296010,NA,OQ296037,NA,NA
Oxalis_barrelieri,Vaio517,KC602027,NA,NA,KC602052,NA,KC602081,NA,NA
Oxalis_cratensis,Cabral134,NA,NA,NA,OR099843,NA,OR099869,NA,NA
Oxalis_cytisoides,Cabral139,OQ310874,NA,NA,OQ295995,NA,OQ296021,NA,NA
