taxon,specimen,ITS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL,ncpGS,Nmarker,Kmarker,duplicate
Oxalis_commutata,Dreyer606,EU436898,NA,NA,NA,AJ582308,EU437186,NA,NA,3,TRUE,TRUE
Oxalis_comosa,Mucina220901/30A,EU436954,NA,NA,NA,EU437091,EU437240,NA,NA,3,TRUE,FALSE
Oxalis_compacta,Teillier5013,JN634729,JN602086,NA,NA,NA,NA,NA,NA,2,TRUE,TRUE
Oxalis_compressa,BayerOberlander0009,EU436883,NA,NA,NA,EU437046,EU437172,NA,NA,3,TRUE,FALSE
Oxalis_comptonii,Dreyer802,EU436985,NA,NA,NA,AJ582309,EU437272,NA,NA,3,TRUE,TRUE
Oxalis_confertifolia,Oberlander0075,EU437011,NA,NA,NA,EU437118,EU437297,NA,NA,3,TRUE,FALSE
Oxalis_confertissima,PF4478,1,NA,1,1,1,NA,NA,NA,3,TRUE,FALSE
Oxalis_conorrhiza,Vaio175,KC602015,NA,NA,NA,KC602069,NA,KC602096,NA,3,TRUE,FALSE
Oxalis_convexula,Oberlander0014,EU436913,NA,NA,NA,EU437067,EU437201,NA,NA,3,TRUE,FALSE
Oxalis_copiosa,Oberlander0021,EU436887,NA,NA,NA,EU437049,EU437176,NA,NA,3,TRUE,FALSE
Oxalis_cordata,Cabral125,NA,NA,OR099842,NA,OR099868,NA,NA,NA,2,FALSE,FALSE
Oxalis_cornicarpa,Fiaschi5442,OQ310887,NA,OQ296008,NA,OQ296035,NA,NA,NA,3,TRUE,FALSE
Oxalis_corniculata,GardnerS1,KC602004,NA,KC602032,NA,KC602056,NA,KC602085,NA,4,TRUE,FALSE
Oxalis_cratensis,Vaio404,NA,NA,MH705091,NA,MH705075,NA,MH705083,NA,3,FALSE,FALSE
Oxalis_crocea,Dreyer693,EU436950,NA,NA,NA,AJ582311,EU437236,NA,NA,3,TRUE,TRUE
Oxalis_cuneata,Dreyer791,EU436969,NA,NA,NA,EU437101,EU437255,NA,NA,3,TRUE,FALSE
Oxalis_cuzcensis,Emshwiller532,NA,NA,NA,NA,NA,NA,NA,AF470254,1,FALSE,FALSE
Oxalis_cytisoides,Cabral139,OQ310874,NA,OQ295995,NA,OQ296021,NA,NA,NA,3,TRUE,TRUE
Oxalis_debilis_var_corymbosa,Vaio62,JN836774,NA,JN836806,NA,JN836760,NA,JN836876,NA,4,TRUE,FALSE
Oxalis_debilis_var_debilis,Emshwiller171,JN618521,NA,JN836803,NA,NA,NA,JN836873,NA,4,TRUE,TRUE
Oxalis_decaphylla,Rodriguez2610,JN618524,NA,JN836820,NA,JN639559,NA,JN836889,NA,4,TRUE,FALSE
Oxalis_decipiens,Vasques57,1,NA,1,NA,1,NA,NA,NA,3,TRUE,FALSE
Oxalis_densa,Oberlander0169,EU436921,NA,NA,NA,EU437073,EU437209,NA,NA,3,TRUE,FALSE
Oxalis_densifolia,Cabral93,OQ310875,NA,OQ295996,NA,OQ296022,NA,NA,NA,3,TRUE,TRUE
Oxalis_dentata,Cilliers0004,EU436888,NA,NA,NA,AJ582312,EU437177,NA,NA,3,TRUE,TRUE
Oxalis_depressa,Oberlander0085,EU436909,NA,NA,NA,EU437064,EU437197,NA,NA,3,TRUE,FALSE
